使一個隨機敵人陷入睡眠狀態2回合,10%,10%,8%,8%
我方全體2回合物防、屬防下降,10%,10%,8%,8%
跳舞失敗,10%,10%,6%,4.80%
使用者HP回復400,10%,8%,8%,8%
敵方全體風屬性攻擊,10%,8%,8%,8%
我方全體2回合物攻增加,10%,8%,8%,8%
我方全體SP回復50,5%,4%,4%,4%
我方全體BP回復1點,5%,4%,4%,4%
霧包圍，我方全體2回合的沉默狀態,5%,4%,4%,4%
敵方單體雷屬性攻擊(威力大),5%,4%,4%,4%
地面爆炸(引起我方全體火屬性攻擊),5%,4%,4%,4%
使用者的SP變為0,5%,4%,4%,4%
戰鬥勝利時JP2倍,5%,4%,4%,4%
戰鬥勝利時EXP2倍,5%,4%,4%,4%
我方全體BP完全回復,0%,2%,2%,2%
我方全體9回合中毒狀態(毒霧),0%,2%,2%,2%
道具散落一地(我方全員受到傷害，且此次戰鬥中不能使用道具),0%,2%,2%,2%
敵方全體光屬性攻擊3次(天降光束),0%,2%,2%,2%
我方全體BP變成0,0%,2%,2%,2%
魔物召喚回復敵方血量,0%,2%,2%,2%
不可思議的力量守護！（我方全體1回合魔法反射）,0%,2%,2%,2%
戰鬥勝利時JP5倍,0%,0%,2%,2%
戰鬥勝利時EXP5倍,0%,0%,2%,2%
我方全體的HP、SP、BP異常狀態變化全回復、戰鬥不能狀態治療(復活),0%,0%,1%,1%
魔物召喚攻擊敵方全體,0%,0%,1%,1%
我方全體濒死（HP1）,0%,0%,1%,1%
聽見死亡的耳語(讓非使用者隨機即死亡效果（機率50％）),0%,0%,1%,1%
火焰燃燒得極為旺盛(全員施放強力火屬性攻擊),0%,0%,0%,0.50%
把敵方單體變貓,0%,0%,0%,0.50%
召喚布爾喬亞凱特林/紳士凱特林/凱特林 來替代任意敵人,0%,0%,0%,0%.5%
戰鬥勝利時JP100倍,0%,0%,0%,0.10%
戰鬥勝利時EXP100倍,0%,0%,0%,0.10%
